the_geom,OBJECTID,CNN,ST_NAME1,ST_TYPE1,CNNTEXT,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.472392496789 37.726825836542),1301,23060000,WINSTON,DR,23060000,JUNIPERO SER,BLVD,,,,,471,1,0,0,25,483198,529,0,0,,,,
POINT (-122.400965602415 37.735266337083),1804,20743000,TOPEKA,AVE,20743000,SILVER,AVE,,,,,564,0,0,0,5,285285,1160,0,0,,,,
POINT (-122.409458670135 37.741947096227),2208,33298000,BERNAL HEIGH,BLVD,33298000,BRADFORD,ST,,,,,375,0,0,0,8,40166,1203,0,0,,,,
POINT (-122.464390501649 37.74779492573),2801,22978000,SANTA RITA,AVE,22978000,MESA,AVE,,,,,1105,0,0,0,3,95308,846,0,0,,,,
POINT (-122.405622481724 37.716596960706),4615,20334000,TIOGA,AVE,20334000,RUTLAND,ST,,,,,1228,0,0,0,16,102326,1247,0,0,,,,
POINT (-122.419619559023 37.73503223603),1814,21229000,CRESCENT,AVE,21229000,ARNOLD,AVE,,,,,118,0,0,0,15,116668,1440,0,0,,,,
POINT (-122.502754964204 37.745602832783),2741,23480000,RIVERA,ST,23480000,44TH,AVE,,,,,1979,0,0,0,18,360258,1462,0,0,,,,
POINT (-122.474123818094 37.78251401901),5165,27489000,CLEMENT,ST,27489000,15TH,AVE,,,,,841,0,0,1,2,423984,2168,0,0,,,,
POINT (-122.398813015417 37.755845644991),3298,23704000,WISCONSIN,ST,23704000,MADERA,ST,,,,,13163,0,0,0,3,214559,1650,0,0,,,,
POINT (-122.479292979481 37.794168998153),6577,51811000,SCHOFIELD,CT,51811000,FORSYTH,LN,PERSHING,DR,,,858,0,0,0,7,85857,319,0,0,,,,
POINT (-122.427982819167 37.757297179021),7123,25678000,CHURCH,ST,25678000,LIBERTY,ST,,,,,2730,0,1,0,5,79932,3477,0,0,,,,
POINT (-122.451174203839 37.73306334129),1490,22378000,MANGELS,AVE,22378000,GENNESSEE,ST,,,,,449,0,0,0,9,49504,1373,0,0,,,,
POINT (-122.472102044422 37.737603414079),1950,23151000,16TH,AVE,23151000,WAWONA,ST,,,,,730,0,0,0,7,96304,796,0,0,,,,
POINT (-122.383863581902 37.742383696184),4327,20232000,NEWHALL,ST,20232000,MENDELL,ST,,,,,387,0,0,0,4,352422,54,0,0,,,,
POINT (-122.429302407214 37.708875571173),251,21369000,ROBINSON,DR,21369000,CANYON,DR,,,,,625,0,0,0,6,111173,696,0,0,,,,
POINT (-122.441577351172 37.760493552802),3886,26158000,CLOVER,ST,26158000,18TH,ST,,,,,1371,0,0,0,9,225122,2410,0,0,,,,
POINT (-122.451711204028 37.735153046993),2081,22361000,BELLA VISTA,WAY,22361000,BURLWOOD,DR,,,,,504,0,0,1,10,111187,1192,0,0,,,,
POINT (-122.415574604298 37.773105532291),7050,24353000,11TH,ST,24353000,HOWARD,ST,,,,,18438,0,1,1,9,5501484,830,2,0.73000002,,,,
POINT (-122.412629881433 37.777031365705),5593,24310000,08TH,ST,24310000,MINNA,ST,,,,,13046,0,0,1,4,2023484,2102,3,2.97000003,,,,
POINT (-122.420773108365 37.774299340839),3434,24444000,FRANKLIN,ST,24444000,PAGE,ST,,,,,13118,0,0,1,3,2340896,2100,1,0.85000002,,,,
POINT (-122.421498662262 37.743127605407),2479,21331000,MISSION,ST,21331000,VIRGINIA,AVE,,,,,732,0,1,0,10,4191467,2469,4,1.90999997,,,,
POINT (-122.414405207225 37.772163060133),6007,24249000,BURNS,PL,24249000,11TH,ST,,,,,10372,0,0,1,5,1474933,745,0,0,,,,
POINT (-122.390158257535 37.736395138254),1732,20213000,03RD,ST,20213000,MCKINNON,AVE,,,,,441,0,1,0,3,3324414,1251,0,0,,,,
POINT (-122.437331787491 37.789426575422),5866,26638000,SACRAMENTO,ST,26638000,PIERCE,ST,,,,,3750,0,0,1,4,283004,2611,0,0,,,,
POINT (-122.408087924158 37.803089751524),5267,25380000,EDGARDO,PL,25380000,GRANT,AVE,,,,,1817,0,0,1,22,191581,4195,0,0,,,,
POINT (-122.43809793987 37.72786547195),1124,21802000,CAPISTRANO,AVE,21802000,SANTA ROSA,AVE,,,,,710,0,0,0,15,344814,1183,0,0,,,,
POINT (-122.451253590828 37.785981136574),3974,26935000,MAYFAIR,DR,26935000,MANZANITA,AVE,,,,,8950,0,0,1,6,1567211,2142,0,0,,,,
POINT (-122.433809547354 37.73203324782),1502,33387000,LAMARTINE,ST,33387000,CALVERT,DR,HILLSIDE,LN,,,328,0,0,1,9,30228,1209,0,0,,,,
POINT (-122.407740401732 37.793183248714),5098,24996000,STOCKTON,ST,24996000,SACRAMENTO,ST,STOCKTON,TUNL,,,9047,0,1,1,9,5236789,6701,6,2.28999996,,,,
POINT (-122.405359068341 37.71804964911),383,20593000,ALDER,ST,20593000,HARKNESS,AVE,,,,,657,0,0,0,9,82678,1112,0,0,,,,
POINT (-122.413731968023 37.802748148585),5046,25465000,COLUMBUS,AVE,25465000,LOMBARD,ST,,,,,1282,0,0,1,18,5358698,3628,0,0,,,,
POINT (-122.439479435508 37.774783179047),3938,26059000,HAYES,ST,26059000,BRODERICK,ST,,,,,492,0,1,0,14,541000,3543,1,3.70000005,,,,
POINT (-122.421743711631 37.731357038722),1453,33315000,ALEMANY,BLVD,33315000,STONEYBROOK,AVE,,,,,107,0,0,0,5,356462,1393,0,0,,,,
POINT (-122.369830596845 37.729179021786),1142,51678000,DONAHUE,ST,51678000,INNES,AVE,,,,,487,0,0,0,17,310385,135,0,0,,,,
POINT (-122.469043332812 37.741476998532),4336,22986000,FUNSTON,AVE,22986000,ULLOA,ST,,,,,930,0,0,0,5,215585,1048,0,0,,,,
POINT (-122.4734558298 37.756849679077),5742,27328000,LOMITA,AVE,27328000,16TH,AVE,,,,,506,0,0,0,2,277186,1508,0,0,,,,
POINT (-122.442424769742 37.708849614093),5614,54037000,NADELL,CT,54037000,GUTTENBERG,ST,,,,,314,0,0,0,0,139819,1417,0,0,,,,
POINT (-122.453262336997 37.709171808747),147,21581000,SICKLES,AVE,21581000,HURON,AVE,,,,,942,0,0,0,14,270119,841,0,0,,,,
POINT (-122.385865944526 37.730171707105),1261,20153000,JENNINGS,ST,20153000,QUESADA,AVE,,,,,495,0,0,0,21,183421,1328,0,0,,,,
POINT (-122.411606055458 37.749441174063),2989,21174000,26TH,ST,21174000,HARRISON,ST,,,,,1160,0,0,0,23,464169,2213,1,4.30999994,,,,
POINT (-122.430274021594 37.771178627121),5962,25895000,WALLER,ST,25895000,FILLMORE,ST,,,,,920,0,0,0,23,451122,3494,1,4.42999983,,,,
POINT (-122.41487992747 37.792274378374),6047,54146000,LYSETTE,ST,54146000,SACRAMENTO,ST,,,,,5179,0,0,0,0,177612,1047,0,0,,,,
POINT (-122.431217914123 37.720860519757),618,21645000,PERSIA,AVE,21645000,NAPLES,ST,,,,,971,0,0,0,9,288653,1749,2,13.85999966,,,,
POINT (-122.425815361886 37.790879372799),7513,26542000,SACRAMENTO,ST,26542000,GOUGH,ST,,,,,4488,0,1,0,4,1165623,5253,3,5.1500001,,,,
POINT (-122.452487437732 37.714987718351),499,35002000,LOBOS,ST,35002000,CAINE,AVE,,,,,2011,0,0,0,14,170054,927,0,0,,,,
POINT (-122.469752907876 37.721649312421),762,22732000,ALVISO,ST,22732000,HOLLOWAY,AVE,,,,,1249,0,0,0,10,329974,964,0,0,,,,
POINT (-122.423499624534 37.732266194413),1503,21236000,JUSTIN,DR,21236000,COLLEGE,AVE,,,,,252,0,0,0,6,216439,1228,0,0,,,,
POINT (-122.408059631835 37.77605511944),4732,24250000,LANGTON,ST,24250000,DECKER,ALY,,,,,9887,0,0,1,4,1713280,1354,0,0,,,,
POINT (-122.4248220932 37.777606806371),6650,25928000,OCTAVIA,ST,25928000,GROVE,ST,,,,,1519,0,0,0,4,690481,3872,0,0,,,,
POINT (-122.475931645878 37.716792714347),380,33481000,GONZALEZ,DR,33481000,FONT,BLVD,,,,,2294,0,0,0,5,358940,1420,0,0,,,,
POINT (-122.410517498681 37.805057589056),7789,25456000,FRANCISCO,ST,25456000,WORDEN,ST,,,,,1795,0,0,1,12,303456,3627,0,0,,,,
POINT (-122.425525271911 37.772739255543),6830,25867000,LAGUNA,ST,25867000,HAIGHT,ST,,,,,1752,0,1,1,2,319353,3904,0,0,,,,
POINT (-122.44732564035 37.77188268419),6808,26346000,OAK,ST,26346000,ASHBURY,ST,,,,,1959,1,1,0,6,2653410,2851,0,0,,,,
POINT (-122.453090300904 37.749349654839),2950,26236000,STARVIEW,WAY,26236000,DELLBROOK,AVE,,,,,2599,0,0,0,10,22225,572,0,0,,,,
POINT (-122.419194919717 37.783106344908),4482,25176000,POLK,ST,25176000,EDDY,ST,,,,,10529,0,1,1,6,9951672,5402,5,1,,,,
POINT (-122.486676457306 37.746311943578),2675,23286000,29TH,AVE,23286000,RIVERA,ST,,,,,307,0,0,0,6,185057,1378,0,0,,,,
POINT (-122.425901714397 37.774603728724),3457,30069000,LAGUNA,ST,30069000,OAK,ST,,,,,3067,0,0,0,3,2132890,7557,1,0.94,,,,
POINT (-122.49940646506 37.743884346663),2443,23468000,41ST,AVE,23468000,SANTIAGO,ST,,,,,1597,0,0,0,7,331286,1507,0,0,,,,
POINT (-122.484772052423 37.765121689035),6299,27435000,26TH,AVE,27435000,LINCOLN,WAY,,,,,1156,0,0,0,4,437506,1422,0,0,,,,
POINT (-122.463981299639 37.794471931974),7014,51280000,DEENS,RD,51280000,PIPER,LOOP,,,,,350,0,0,0,10,68127,61,0,0,,,,
POINT (-122.473958912798 37.748744441979),2930,23193000,QUINTARA,ST,23193000,17TH,AVE,,,,,118,0,0,0,3,318084,1254,0,0,,,,
POINT (-122.488819672918 37.746217263511),2669,23391000,31ST,AVE,23391000,RIVERA,ST,,,,,217,0,0,1,5,204836,1424,0,0,,,,
POINT (-122.402693765954 37.75579863734),8099,33125000,KANSAS,ST,33125000,HUMBOLDT,ST,,,,,228,0,0,0,20,82970,1586,0,0,,,,
POINT (-122.395956110052 37.754936915559),3165,23637000,23RD,ST,23637000,MISSOURI,ST,,,,,1582,0,0,0,14,83669,1115,0,0,,,,
POINT (-122.506234720183 37.779900298648),6739,27998000,45TH,AVE,27998000,POINT LOBOS,AVE,,,,,3558,0,0,0,12,223728,1362,0,0,,,,
POINT (-122.435969914999 37.759227603753),7638,25812000,19TH,ST,25812000,COLLINGWOOD,ST,,,,,8482,0,0,0,6,522724,2529,0,0,,,,
POINT (-122.450512142326 37.709548304957),289,21550000,OLIVER,ST,21550000,MISSION,ST,,,,,883,0,0,0,7,277562,1012,0,0,,,,
POINT (-122.405248500833 37.712582775385),98,20310000,RAYMOND,AVE,20310000,ALPHA,ST,,,,,1767,0,0,0,2,261114,1209,0,0,,,,
POINT (-122.392622901889 37.722662898409),978,20453000,JENNINGS,ST,20453000,EGBERT,AVE,,,,,315,0,0,0,21,378597,507,0,0,,,,
POINT (-122.4862609159 37.755687461395),4869,27405000,28TH,AVE,27405000,MORAGA,ST,,,,,140,0,0,1,4,302496,1478,0,0,,,,
POINT (-122.430260576691 37.769397204675),6841,25892000,DUBOCE,AVE,25892000,BELCHER,ST,,,,,563,0,0,0,13,633430,3763,1,3.16000009,,,,
POINT (-122.46808880089 37.721660619863),759,22729000,VERNON,ST,22729000,HOLLOWAY,AVE,,,,,744,0,0,0,8,208242,1019,0,0,,,,
POINT (-122.413490806587 37.737074852999),2028,21055000,TOMPKINS,AVE,21055000,FOLSOM,ST,,,,,399,0,0,0,11,167597,1876,0,0,,,,
POINT (-122.412767651607 37.80143494843),3503,25445000,VALPARAISO,ST,25445000,MASON,ST,,,,,4027,0,0,0,3,1114401,3968,0,0,,,,
POINT (-122.470726872798 37.716093682051),604,22724000,MONTICELLO,ST,22724000,SARGENT,ST,,,,,529,0,0,0,7,158095,1564,0,0,,,,
POINT (-122.464209256394 37.801687673394),5031,51297000,UNNAMED 003,0,51297000,UNNAMED 001,0,,,,,307,0,0,0,11,119775,21,0,0,,,,
POINT (-122.498700531868 37.764499697913),6064,27791000,LINCOLN,WAY,27791000,39TH,AVE,,,,,543,0,0,0,10,354721,863,0,0,,,,
POINT (-122.498043893762 37.755157214544),4177,27758000,MORAGA,ST,27758000,39TH,AVE,,,,,252,0,0,0,5,259012,1172,0,0,,,,
POINT (-122.408925556264 37.799040802804),6514,25351000,CARD,ALY,25351000,STOCKTON,ST,,,,,1690,0,0,1,14,4378912,6997,0,0,,,,
POINT (-122.391865625872 37.72979049785),1227,20506000,LANE,ST,20506000,UNDERWOOD,AVE,,,,,862,0,0,0,2,345783,1095,0,0,,,,
POINT (-122.425780020722 37.758231770764),6769,25679000,20TH,ST,25679000,DOLORES,ST,,,,,2361,0,0,0,6,638670,2272,0,0,,,,
POINT (-122.499509860466 37.760713542868),3798,27787000,JUDAH,ST,27787000,40TH,AVE,,,,,554,0,0,0,9,296554,1390,0,0,,,,
POINT (-122.452115101724 37.752965330118),3201,26243000,DELLBROOK,AVE,26243000,GREENVIEW,CT,,,,,3073,0,1,0,7,172290,493,0,0,,,,
POINT (-122.428725328939 37.788582013005),5262,26527000,LAGUNA,ST,26527000,PINE,ST,,,,,3904,0,0,0,6,1044794,5358,1,1.90999997,,,,
POINT (-122.416836795941 37.734893223077),4937,21187000,ANDOVER,ST,21187000,CRESCENT,AVE,,,,,1339,0,0,0,17,189866,1538,0,0,,,,
POINT (-122.432881616859 37.735844001015),1748,33401000,UNNAMED 011,0,33401000,SUSSEX,ST,,,,,464,0,0,0,42,66327,1408,0,0,,,,
POINT (-122.435398297861 37.723914341789),726,21743000,OCEAN,AVE,21743000,MISSION,ST,,,,,746,0,1,0,10,4732252,1635,3,1.26999998,,,,
POINT (-122.411956369411 37.741747358378),2188,21147000,PRENTISS,ST,21147000,CHAPMAN,ST,,,,,1013,0,0,0,15,34666,1463,0,0,,,,
POINT (-122.45506297902 37.786213723643),3995,26948000,MAPLE,ST,26948000,CALIFORNIA,ST,,,,,9277,0,0,0,9,3046622,1578,1,0.66000003,,,,
POINT (-122.47606760086 37.76361370054),5783,27371000,18TH,AVE,27371000,IRVING,ST,,,,,1677,0,0,0,4,1336869,2065,0,0,,,,
POINT (-122.428222113335 37.728550077166),1210,21689000,CRAUT,ST,21689000,SILVER,AVE,,,,,551,0,0,0,10,225002,1359,1,8.89000034,,,,
POINT (-122.45586709148 37.802019805984),5041,51585000,FRENCH,CT,51585000,GRAHAM,ST,,,,,1325,0,0,0,25,261238,5,0,0,,,,
POINT (-122.421450798919 37.750454636458),2970,24103000,25TH,ST,24103000,SAN JOSE,AVE,,,,,5562,0,0,0,2,412891,2992,0,0,,,,
POINT (-122.411910422127 37.77207762423),5999,24232000,10TH,ST,24232000,SHERIDAN,ST,,,,,6234,0,0,1,3,1523924,679,0,0,,,,
POINT (-122.417464318359 37.773139876813),7058,24362000,LAFAYETTE,ST,24362000,MINNA,ST,,,,,14563,0,0,0,3,1854417,836,0,0,,,,
POINT (-122.423461479634 37.779218378813),4154,24473000,ASH,ST,24473000,GOUGH,ST,,,,,52242,0,0,1,8,2167680,2641,0,0,,,,
POINT (-122.463148806886 37.737028294329),1939,22821000,YERBA BUENA,AVE,22821000,TERRACE,WALK,SANTA PAULA,AVE,,,912,0,0,0,10,76737,658,0,0,,,,
POINT (-122.460740945265 37.745059755671),2884,22885000,MERCED,AVE,22885000,PACHECO,ST,,,,,747,0,0,1,5,219281,763,0,0,,,,
POINT (-122.434408517534 37.708875948097),5613,21387000,CHICAGO,WAY,21387000,CORDOVA,ST,,,,,723,0,0,0,9,163039,723,0,0,,,,
POINT (-122.449087117299 37.766877066782),6700,26406000,FREDERICK,ST,26406000,BELVEDERE,ST,,,,,6989,0,0,0,12,241000,3186,0,0,,,,
POINT (-122.407013183451 37.735759577088),7937,52022000,ISLAIS,ST,52022000,DICKINSON,ST,,,,,1952,0,0,0,11,122133,598,0,0,,,,
POINT (-122.475138788706 37.73601769895),2025,54084000,19TH,AVE,54084000,STERN GROVE,CT,,,,,795,0,0,0,0,232234,1,0,0,,,,
POINT (-122.415554786177 37.750810147698),3022,24060000,25TH,ST,24060000,VIRGIL,ST,,,,,3444,0,0,1,4,526265,2788,0,0,,,,
POINT (-122.493836676787 37.770287784231),5969,27820000,JOHN F KENNE,DR,27820000,36TH,AVE,,,,,400,0,0,0,3,305079,558,0,0,,,,
POINT (-122.402475188317 37.796811581427),6857,24715000,BALANCE,ST,24715000,GOLD,ST,,,,,3585,0,0,1,3,3579712,3173,0,0,,,,
POINT (-122.487196235265 37.753773484063),5217,27400000,29TH,AVE,27400000,NORIEGA,ST,,,,,93,0,0,1,5,286700,1188,0,0,,,,
POINT (-122.448452915086 37.741231606153),4325,22405000,REPOSA,WAY,22405000,MARIETTA,DR,,,,,142,0,0,0,7,148506,701,0,0,,,,
POINT (-122.401992349744 37.776475012975),4761,23898000,MORRIS,ST,23898000,BRYANT,ST,,,,,3650,0,0,0,6,401319,850,0,0,,,,
POINT (-122.392949898248 37.786072479264),7103,24494000,I-80 E ON,RAMP,24494000,01ST,ST,HARRISON,ST,,,56157,0,1,1,8,3098840,1899,0,0,,,,
POINT (-122.411285831723 37.755892511627),8115,23993000,22ND,ST,23993000,ALABAMA,ST,,,,,3282,0,0,0,3,496130,2548,0,0,,,,
POINT (-122.390025559269 37.790831897092),6691,24545000,FOLSOM,ST,24545000,THE EMBARCAD,0,,,,,54786,0,1,1,5,5410093,893,2,0.74000001,,,,
POINT (-122.472937746573 37.745048555369),2901,23181000,16TH,AVE,23181000,SANTIAGO,ST,,,,,663,0,0,0,3,271556,1360,0,0,,,,
POINT (-122.490604446325 37.732052283249),1686,23306000,WESTMOORLAND,DR,23306000,OCEAN,AVE,,,,,416,0,0,0,6,312871,629,0,0,,,,
POINT (-122.399376473272 37.713324069308),132,33205000,HESTER,AVE,33205000,WHEELER,AVE,,,,,408,0,0,0,5,221092,1289,0,0,,,,
POINT (-122.417792291751 37.739188607545),2353,21221000,BENNINGTON,ST,21221000,CORTLAND,AVE,,,,,1264,0,0,0,4,878995,1913,0,0,,,,
POINT (-122.469240104673 37.775130292113),4740,27264000,11TH,AVE,27264000,CABRILLO,ST,,,,,1030,0,0,0,3,408351,1054,0,0,,,,
POINT (-122.442018487722 37.733816526774),1876,22274000,CONGO,ST,22274000,MELROSE,AVE,,,,,627,0,0,0,4,124650,1295,0,0,,,,
POINT (-122.479614909942 37.737270982053),2238,23175000,23RD,AVE,23175000,WAWONA,ST,,,,,327,0,0,0,12,235550,638,0,0,,,,
POINT (-122.449446545212 37.763204603888),6395,26277000,ALMA,ST,26277000,COLE,ST,,,,,1537,1,0,0,12,372750,2199,0,0,,,,
POINT (-122.419268820946 37.775152018262),4229,30748000,MARKET,ST,30748000,VAN NESS,AVE,SOUTH VAN NE,AVE,,,1172,0,0,0,8,6757369,1688,3,0.88999999,,,,
POINT (-122.384415214571 37.716095909997),498,33222000,GILMAN,AVE,33222000,EARL,ST,,,,,638,0,0,0,22,242670,304,0,0,,,,
POINT (-122.451359629813 37.80210154613),5042,51223000,KENDALL,DR,51223000,BIRMINGHAM,RD,,,,,200,0,0,1,8,271265,16,0,0,,,,
POINT (-122.481554230338 37.765264521626),5630,27420000,LINCOLN,WAY,27420000,23RD,AVE,,,,,1469,0,0,1,4,377941,1091,1,5.28999996,,,,
POINT (-122.397552118959 37.779137169717),4118,23833000,04TH,ST,23833000,WELSH,ST,,,,,1433,0,0,0,7,2314650,1941,0,0,,,,
POINT (-122.384560637051 37.733478898893),1558,33204000,NEWCOMB,AVE,33204000,WHITNEY YOUN,CIR,,,,,753,0,0,0,30,114872,827,0,0,,,,
POINT (-122.414696347022 37.781764036787),6978,24932000,GOLDEN GATE,AVE,24932000,CONTINUUM,WAY,,,,,5896,0,0,1,13,12159719,12629,0,0,,,,
POINT (-122.410075984356 37.774996736989),3921,24272000,FOLSOM,ST,24272000,08TH,ST,,,,,12444,0,1,1,2,5368214,1222,5,1.86000001,,,,
POINT (-122.435691432397 37.798026067088),5685,26676000,FILBERT,ST,26676000,FILLMORE,ST,,,,,3016,0,0,0,5,1189451,2017,1,1.67999995,,,,
POINT (-122.43940347606 37.749370310898),2937,26080000,25TH,ST,26080000,HOMESTEAD,ST,,,,,278,0,1,0,9,198046,3263,0,0,,,,
POINT (-122.438594789529 37.787329848048),4534,26642000,SCOTT,ST,26642000,PINE,ST,,,,,4071,0,1,0,3,1284877,2626,0,0,,,,
POINT (-122.402039375903 37.731028863476),1613,20647000,WATERVILLE,ST,20647000,QUINT,ST,THORNTON,AVE,,,3713,0,0,1,1,313608,1151,0,0,,,,
POINT (-122.492245515433 37.779751890136),5918,27853000,GEARY,BLVD,27853000,32ND,AVE,,,,,349,0,0,0,4,735323,2046,1,2.72000003,,,,
POINT (-122.398890686375 37.743230288197),2465,20795000,KIRKWOOD,AVE,20795000,MILTON I ROS,ST,,,,,276,0,0,0,17,364013,2,0,0,,,,
POINT (-122.474969386241 37.778607141439),4377,27479000,16TH,AVE,27479000,ANZA,ST,,,,,1183,0,0,0,6,302863,1902,0,0,,,,
POINT (-122.394545326871 37.724698078807),731,20515000,03RD,ST,20515000,DONNER,AVE,,,,,804,0,1,0,3,1290780,321,0,0,,,,
POINT (-122.425303149839 37.728682420128),4242,21664000,SILVER,AVE,21664000,NAPLES,ST,,,,,763,0,0,0,12,154968,1412,1,12.90999985,,,,
POINT (-122.470331492872 37.727160322932),1115,22781000,MERCEDES,WAY,22781000,CEDRO,AVE,,,,,1493,0,0,0,10,192656,541,0,0,,,,
POINT (-122.433219277815 37.735303074861),2059,21946000,SURREY,ST,21946000,UNNAMED 025,0,,,,,866,0,0,0,10,60116,1380,0,0,,,,
POINT (-122.428215537928 37.759696565157),3627,25710000,CHURCH,ST,25710000,19TH,ST,,,,,1838,0,0,0,9,130557,2510,0,0,,,,
POINT (-122.446614180516 37.733081923068),1787,22291000,MANGELS,AVE,22291000,EDNA,ST,,,,,539,0,0,0,13,17795,1439,0,0,,,,
POINT (-122.418497188492 37.763501377921),6382,24140000,17TH,ST,24140000,CAPP,ST,,,,,8882,0,0,1,2,2100703,2697,3,2.8599999,,,,
POINT (-122.424488232553 37.769153124759),4185,25844000,GUERRERO,ST,25844000,CLINTON,PARK,,,,,3125,0,0,0,4,412300,3805,0,0,,,,
POINT (-122.452942547467 37.751219711587),3101,26240000,OLYMPIA,WAY,26240000,DELLBROOK,AVE,,,,,2265,0,0,0,7,109982,591,0,0,,,,
POINT (-122.477187333503 37.763564437193),7238,27372000,IRVING,ST,27372000,19TH,AVE,,,,,1776,0,0,0,5,4007777,2230,2,1,,,,
POINT (-122.393194545093 37.793235440032),6054,24552000,MISSION,ST,24552000,STEUART,ST,,,,,48654,0,1,1,2,11878858,260,1,0.17,,,,
POINT (-122.468029731235 37.716107963199),602,22715000,VERNON,ST,22715000,SARGENT,ST,,,,,549,0,0,0,15,104734,1370,0,0,,,,
POINT (-122.443477943474 37.779590673703),6076,26385000,ANZAVISTA,AVE,26385000,ENCANTO,AVE,,,,,2194,1,0,0,4,575158,2306,0,0,,,,
POINT (-122.386974898474 37.738363766275),2132,20216000,INNES,AVE,20216000,MENDELL,ST,,,,,418,0,0,0,4,142737,892,0,0,,,,
POINT (-122.423343819806 37.756773723282),4873,25627000,21ST,ST,25627000,GUERRERO,ST,,,,,772,0,0,1,11,523351,3140,0,0,,,,
POINT (-122.431510919724 37.802381241338),5039,26755000,FRANCISCO,ST,26755000,LAGUNA,ST,,,,,863,0,1,0,29,460937,2136,0,0,,,,
POINT (-122.449321879434 37.709951140286),322,21547000,MISSION,ST,21547000,FARRAGUT,AVE,,,,,1041,0,0,0,10,377510,1158,2,10.600000380000001,,,,
POINT (-122.386813311159 37.725990609351),7669,20144000,VAN DYKE,AVE,20144000,INGALLS,ST,,,,,489,0,0,0,7,368098,395,0,0,,,,
POINT (-122.495910286819 37.755256259696),4706,27705000,37TH,AVE,27705000,MORAGA,ST,,,,,137,0,0,0,4,312028,1158,0,0,,,,
POINT (-122.468437476363 37.748133591597),7994,32885000,MENDOSA,AVE,32885000,12TH,AVE,,,,,269,0,0,1,27,51044,1023,0,0,,,,
POINT (-122.424990158167 37.756674585722),4864,25634000,21ST,ST,25634000,QUANE,ST,,,,,1018,0,0,0,13,186876,2924,0,0,,,,
POINT (-122.394721852459 37.7639689615),6386,23674000,MISSISSIPPI,ST,23674000,MARIPOSA,ST,,,,,7186,1,0,0,3,328828,862,0,0,,,,
POINT (-122.393275470581 37.730804886947),1183,20512000,THORNTON,AVE,20512000,LUCY,ST,,,,,723,0,0,0,5,199796,1198,0,0,,,,
POINT (-122.443001597617 37.734920059372),7931,22287000,MERCATO,CT,22287000,MALTA,DR,,,,,615,0,0,0,7,192643,1115,0,0,,,,
POINT (-122.472145413552 37.731065165102),1390,33502000,JUNIPERO SER,BLVD,33502000,EUCALYPTUS,DR,,,,,1219,0,0,0,26,676928,407,0,0,,,,
POINT (-122.41860715772 37.753841530296),4524,24094000,MISSION,ST,24094000,23RD,ST,,,,,5104,0,1,0,2,6463586,3072,0,0,,,,
POINT (-122.420021535214 37.770116392352),4908,33027000,13TH,ST,33027000,HWY 101 NORT,RAMP,OTIS,ST,MISSION,ST,705,0,0,0,10,9043269,3614,4,0.88,,,,
POINT (-122.41299870184 37.729177560362),1580,20918000,SILLIMAN,ST,20918000,DARTMOUTH,ST,,,,,580,0,0,0,14,233266,1136,0,0,,,,
POINT (-122.421371724947 37.72830659787),7687,20989000,PIOCHE,ST,20989000,HARVARD,ST,,,,,635,0,0,0,21,138342,1354,0,0,,,,
POINT (-122.476567511104 37.756115153994),4890,27341000,19TH,AVE,27341000,MORAGA,ST,,,,,604,0,0,0,9,594187,1382,1,3.36999989,,,,
POINT (-122.402970574959 37.793784804313),5339,24734000,MONTGOMERY,ST,24734000,SACRAMENTO,ST,,,,,31695,0,1,1,6,20764476,2231,0,0,,,,
POINT (-122.400876390144 37.797659087571),5429,24707000,PACIFIC,AVE,24707000,BATTERY,ST,,,,,15743,0,1,1,3,9002137,1977,1,0.22,,,,
POINT (-122.46140552771 37.795232911596),7855,51554000,SIBERT,LOOP,51554000,UNNAMED 161,0,,,,,672,0,0,0,22,99342,40,0,0,,,,
POINT (-122.436053284588 37.723049408475),808,21746000,RUTH,ST,21746000,MISSION,ST,,,,,684,0,1,0,11,3935651,1640,0,0,,,,
POINT (-122.462901413207 37.728060526721),1217,22674000,KENWOOD,WAY,22674000,KEYSTONE,WAY,,,,,305,0,0,0,9,131314,1041,0,0,,,,
POINT (-122.485870341686 37.750089500325),4347,23290000,28TH,AVE,23290000,PACHECO,ST,,,,,393,0,0,0,5,188978,998,0,0,,,,
POINT (-122.463591012962 37.72774038595),1195,22746000,FAIRFIELD,WAY,22746000,LAKEWOOD,AVE,,,,,515,0,0,0,14,158042,1022,0,0,,,,
POINT (-122.467989979663 37.712550531396),5607,51156000,VERNON,ST,51156000,RALSTON,ST,,,,,745,0,0,0,8,64523,1272,0,0,,,,
POINT (-122.445119200415 37.76928917019),4224,26341000,WALLER,ST,26341000,MASONIC,AVE,,,,,2303,0,0,0,9,220666,2246,1,9.06000042,,,,
POINT (-122.447161229572 37.789076331065),5852,26850000,CLAY,ST,26850000,PRESIDIO,AVE,,,,,1626,0,1,0,13,279718,2386,0,0,,,,
